gwcode,abbrev,name,valid_from,valid_to,list
551,ZAM,Zambia,1964-10-24,,
552,ZIM,Zimbabwe (Rhodesia),1965-11-11,,
553,MAW,Malawi,1964-07-06,,
560,SAF,South Africa,1910-05-31,,
563,TRA,Transvaal,1852-01-01,1910-05-30,
564,OFS,Orange Free State,1854-03-28,1910-05-30,
565,NAM,Namibia,1990-03-21,,
570,LES,Lesotho,1966-10-04,,
571,BOT,Botswana,1966-09-30,,
572,SWA,Swaziland,1968-09-06,,
580,MAG,Madagascar (Malagasy),1816-01-01,1896-08-05,
580,MAG,Madagascar,1960-06-26,,
581,COM,Comoros,1975-07-06,,
590,MAS,Mauritius,1968-03-12,,
600,MOR,Morocco,1816-01-01,1904-01-01,
600,MOR,Morocco,1956-03-02,,
615,ALG,Algeria,1816-01-01,1830-07-05,
615,ALG,Algeria,1962-07-05,,
616,TUN,Tunisia,1816-01-01,1881-05-12,
616,TUN,Tunisia,1956-01-01,,
620,LIB,Libya,1816-01-01,1834-12-31,
620,LIB,Libya,1951-12-24,,
625,SUD,Sudan,1956-01-01,,
626,SSD,South Sudan,2011-07-09,,
630,IRN,Iran (Persia),1816-01-01,,
640,TUR,Turkey (Ottoman Empire),1816-01-01,,
645,IRQ,Iraq,1932-10-03,,
651,EGY,Egypt,1827-01-01,1855-12-31,
651,EGY,Egypt,1922-02-28,,
652,SYR,Syria,1946-01-01,,
660,LEB,Lebanon,1944-11-22,,
663,JOR,Jordan,1946-05-25,,
666,ISR,Israel,1948-05-14,,
670,SAU,Saudi Arabia,1932-09-23,,
678,YEM,Yemen (Arab Republic of Yemen),1918-10-30,,
680,YPR,"Yemen, People's Republic of",1967-11-30,1990-05-21,
690,KUW,Kuwait,1961-06-19,,
692,BAH,Bahrain,1971-08-15,,
694,QAT,Qatar,1971-09-03,,
696,UAE,United Arab Emirates,1971-12-02,,
698,OMA,Oman,1816-01-01,,
700,AFG,Afghanistan,1816-01-01,1888-12-30,
700,AFG,Afghanistan,1919-05-01,,
701,TKM,Turkmenistan,1991-10-27,,
702,TAJ,Tajikistan,1991-09-09,,
703,KYR,Kyrgyz Republic,1991-08-31,,
704,UZB,Uzbekistan,1991-08-31,,
705,KZK,Kazakhstan,1991-12-16,,
710,CHN,China,1816-01-01,,
711,TBT,Tibet,1913-01-01,1950-10-01,
712,MON,Mongolia,1921-03-13,,
713,TAW,Taiwan,1949-12-08,,
730,KOR,Korea,1816-01-01,1910-08-22,
731,PRK,"Korea, People's Republic of",1948-09-09,,
732,ROK,"Korea, Republic of",1948-08-15,,
740,JPN,Japan,1816-01-01,,
750,IND,India,1947-08-15,,
760,BHU,Bhutan,1949-01-01,,
770,PAK,Pakistan,1947-08-14,,
771,BNG,Bangladesh,1971-12-16,,
775,MYA,Myanmar (Burma),1816-01-01,1885-12-31,
775,MYA,Myanmar (Burma),1948-01-04,,
780,SRI,Sri Lanka (Ceylon),1948-02-04,,
