system,code,valid_from,valid_to,iso3,basis
gw,352,,,CYP,name
gw,355,,,BGR,name
gw,359,,,MDA,name
gw,360,,,ROU,name
gw,365,1922-12-30,1991-12-26,SUN,contemporaneous
gw,365,,1922-12-30,RUS,territorial_continuity_pre_iso
gw,365,1991-12-26,,RUS,contemporaneous
gw,366,,,EST,name
gw,367,,,LVA,name
gw,368,,,LTU,name
gw,369,,,UKR,name
gw,370,,,BLR,name
gw,371,,,ARM,name
gw,372,,,GEO,name
gw,373,,,AZE,name
gw,375,,,FIN,name
gw,380,,,SWE,name
gw,385,,,NOR,name
gw,390,,,DNK,name
gw,395,,,ISL,name
gw,402,,,CPV,name
gw,404,,,GNB,name
gw,411,,,GNQ,name
gw,420,,,GMB,name
gw,432,,,MLI,name
gw,433,,,SEN,name
gw,434,,,BEN,name
gw,435,,,MRT,name
gw,436,,,NER,name
gw,437,,,CIV,name
gw,438,,,GIN,name
gw,439,,,BFA,name
gw,450,,,LBR,name
gw,451,,,SLE,name
gw,452,,,GHA,name
gw,461,,,TGO,name
gw,471,,,CMR,name
gw,475,,,NGA,name
gw,481,,,GAB,name
gw,482,,,CAF,name
gw,483,,,TCD,name
gw,484,,,COG,name
gw,490,,,COD,name
gw,500,,,UGA,name
gw,501,,,KEN,name
gw,510,,,TZA,name
gw,511,,,,no_iso_code
gw,516,,,BDI,name
gw,517,,,RWA,name
gw,520,,,SOM,name
gw,522,,,DJI,name
gw,530,,,ETH,name
gw,531,,,ERI,name
gw,540,,,AGO,name
gw,541,,,MOZ,name
gw,551,,,ZMB,name
gw,552,,,ZWE,name
gw,553,,,MWI,name
gw,560,,,ZAF,name
gw,563,,,,no_iso_code
gw,564,,,,no_iso_code
gw,565,,,NAM,name
gw,570,,,LSO,name
gw,571,,,BWA,name
gw,572,,,SWZ,name
gw,580,,,MDG,name
gw,581,,,COM,name
gw,590,,,MUS,name
gw,600,,,MAR,name
gw,615,,,DZA,name
gw,616,,,TUN,name
gw,620,,,LBY,name
gw,625,,,SDN,name
gw,626,,,SSD,name
gw,630,,,IRN,name
gw,640,,,TUR,name
gw,645,,,IRQ,name
gw,651,,,EGY,name
gw,652,,,SYR,name
gw,660,,,LBN,name
gw,663,,,JOR,name
gw,666,,,ISR,name
gw,670,,,SAU,name
gw,678,,,YEM,contemporaneous_iso_yem_denoted_north_yemen
gw,680,,,YMD,contemporaneous
gw,690,,,KWT,name
gw,692,,,BHR,name
gw,694,,,QAT,name
gw,696,,,ARE,name
gw,698,,,OMN,name
gw,700,,,AFG,name
gw,701,,,TKM,name
gw,702,,,TJK,name
gw,703,,,KGZ,name
gw,704,,,UZB,name
gw,705,,,KAZ,name
gw,710,,,CHN,name
gw,711,,,,no_iso_code
gw,712,,,MNG,name
gw,713,,,TWN,name
gw,730,,,,no_iso_code
gw,731,,,PRK,name
gw,732,,,KOR,name
gw,740,,,JPN,name
gw,750,,,IND,name
gw,760,,,BTN,name
gw,770,,,PAK,name
gw,771,,,BGD,name
gw,775,,1989-06-18,BUR,contemporaneous
gw,775,1989-06-18,,MMR,contemporaneous
gw,780,,,LKA,name
gw,781,,,MDV,name
gw,790,,,NPL,name
gw,800,,,THA,name
gw,811,,,KHM,name
gw,812,,,LAO,name
gw,815,,,,no_iso_code
